order_date,region,product_category,units_sold,revenue_usd
2025-09-12,East,Training,46,6323.45
2025-07-04,West,Training,28,2564.97
2025-10-09,West,Training,47,3970.29
2025-10-29,North,Support,27,2024.40
2025-03-13,East,Hardware,60,7714.51
2025-08-25,West,Hardware,50,4796.18
2025-04-18,South,Training,57,8859.10
2025-06-26,South,Hardware,16,604.11
2025-06-11,East,Support,16,1236.44
2025-10-24,East,Support,47,2489.56
2025-04-30,East,Training,28,1303.63
2025-08-09,West,Support,22,3772.43
2025-10-23,East,Services,43,6545.58
2025-07-25,South,Services,27,3729.13
2025-09-02,South,Support,35,3568.08
2025-05-18,West,Training,54,8975.15
2025-05-04,North,Software,1,37.86
2025-04-15,North,Training,42,3757.32
2025-08-10,South,Support,29,2205.78
2025-04-09,South,Training,38,4685.13
2025-05-20,West,Software,60,2161.84
2025-08-27,South,Software,5,695.59
2025-03-24,South,Services,11,1769.98
2025-12-16,South,Software,21,4033.42
2025-09-01,South,Hardware,14,2379.34
2025-03-01,West,Software,8,794.14
2025-06-12,North,Hardware,53,4683.57
2025-12-03,West,Software,19,3738.77
2025-10-22,South,Software,10,1566.42
2025-04-27,North,Software,45,2580.03
2025-01-22,West,Services,9,1561.83
2025-05-14,South,Hardware,8,1449.94
2025-09-02,South,Software,7,1254.81
2025-10-05,East,Support,22,932.06
2025-01-15,East,Software,35,2747.56
2025-11-26,North,Services,28,3700.81
2025-11-14,North,Hardware,57,2704.62
2025-02-17,West,Training,9,723.92
2025-01-15,East,Support,11,1643.36
2025-10-07,West,Services,1,170.53
2025-10-06,East,Hardware,43,8246.30
2025-04-17,South,Hardware,18,3226.08
2025-12-30,South,Services,38,4248.40
2025-10-27,East,Training,40,5699.70
2025-02-08,West,Support,16,887.18
2025-09-29,South,Software,58,5361.67
2025-01-09,North,Training,57,9337.74
2025-03-05,West,Services,37,7189.19
2025-02-17,North,Training,27,2196.40
2025-03-14,West,Support,15,896.30
2025-02-11,West,Software,40,1698.24
2025-06-11,North,Training,58,9628.60
2025-06-19,North,Hardware,29,5012.65
2025-04-10,North,Hardware,58,5234.49
2025-08-11,North,Hardware,44,4032.86
2025-11-30,North,Services,51,6222.50
2025-05-09,North,Services,3,537.26
2025-05-25,South,Training,22,1331.71
2025-10-30,North,Training,39,7358.12
2025-09-24,East,Support,34,6477.40
2025-04-18,West,Hardware,59,10145.04
2025-04-03,South,Services,30,2942.98
2025-09-15,West,Software,17,943.46
2025-12-21,East,Training,38,2272.51
2025-04-13,South,Support,57,7070.44
2025-05-08,West,Services,3,439.54
2025-02-22,East,Hardware,7,600.85
2025-06-13,West,Training,54,3074.91
2025-01-07,East,Training,44,8353.97
2025-05-16,South,Software,3,574.30
2025-02-10,East,Services,16,2346.60
2025-11-20,West,Training,52,2239.42
2025-01-10,South,Training,23,959.90
2025-08-12,South,Hardware,10,1223.42
2025-02-28,North,Training,30,5453.63
2025-04-15,South,Services,44,7647.83
2025-07-20,North,Services,19,1251.49
2025-03-24,South,Hardware,21,998.63
2025-08-03,North,Software,36,3737.74
2025-06-23,West,Support,18,1529.67
2025-12-12,East,Software,12,1017.23
2025-05-19,East,Support,57,7549.79
2025-10-08,West,Support,38,2961.79
2025-01-07,West,Services,6,745.05
2025-06-15,East,Support,32,2582.80
2025-11-30,East,Training,50,3431.66
2025-11-08,East,Services,17,1908.34
2025-07-05,North,Hardware,45,7707.57
2025-10-02,East,Services,49,6080.34
2025-03-06,South,Support,15,878.50
2025-09-13,West,Services,39,6577.16
2025-06-16,South,Support,36,2624.33
2025-10-17,South,Services,27,1400.50
2025-11-22,West,Support,52,4124.96
2025-10-25,South,Support,2,236.03
2025-01-30,East,Support,47,4235.05
2025-10-04,East,Hardware,47,8017.39
2025-01-09,South,Services,53,4495.46
2025-01-07,South,Software,44,4285.93
2025-09-10,East,Hardware,32,3100.36
2025-02-14,East,Services,45,5126.10
2025-07-03,East,Hardware,20,3478.26
2025-08-24,North,Software,26,1952.58
2025-02-26,South,Support,49,9697.95
2025-03-23,South,Support,36,2281.46
2025-11-20,South,Software,39,3248.13
2025-05-30,North,Training,35,6669.28
2025-11-28,North,Hardware,38,1594.97
2025-06-17,North,Training,51,7604.60
2025-05-05,West,Hardware,33,2334.03
2025-11-07,North,Support,60,3022.54
2025-03-04,East,Training,16,632.64
2025-06-15,North,Services,21,2851.46
2025-08-28,East,Hardware,24,4378.86
2025-10-16,North,Hardware,50,9665.89
2025-06-06,West,Support,43,5861.62
2025-08-30,East,Services,25,3710.46
2025-10-14,East,Training,22,3418.97
2025-03-21,North,Services,50,8933.98
2025-07-24,East,Hardware,39,3741.70
2025-08-06,West,Services,1,138.12
2025-10-03,North,Services,21,1773.22
2025-03-07,South,Hardware,32,2320.02
2025-11-26,North,Software,8,528.63
2025-08-08,West,Services,7,868.13
2025-02-10,South,Support,8,602.64
2025-02-02,East,Hardware,47,5241.62
2025-02-25,South,Software,38,3819.48
2025-10-08,South,Software,59,10188.80
